State,Population
AL,"5,024,279"
AK,"733,391"
AZ,"7,151,502"
AR,"3,011,524"
CA,"39,538,223"
CO,"5,773,714"
CT,"3,605,944"
DE,"989,948"
DC,"689,545"
FL,"21,538,187"
GA,"10,711,908"
HI,"1,455,271"
ID,"1,839,106"
IL,"12,812,508"
IN,"6,785,528"
IA,"3,190,369"
KS,"2,937,880"
KY,"4,505,836"
LA,"4,657,757"
ME,"1,362,359"
MD,"6,177,224"
MA,"7,029,917"
MI,"10,077,331"
MN,"5,706,494"
MS,"2,961,279"
MO ,"6,154,913"
MT,"1,084,225"
NE,"1,961,504"
NV,"3,104,614"
NH,"1,377,529"
NJ,"9,288,994"
NM,"2,117,522"
NY,"20,201,249"
NC,"10,439,388"
ND,"779,094"
OH,"11,799,448"
OK,"3,959,353"
OR,"4,237,256"
PA,"13,002,700"
RI,"1,097,379"
SC,"5,118,425"
SD,"886,667"
TN,"6,910,840"
TX,"29,145,505"
UT,"3,271,616"
VT,"643,077"
VA,"8,631,393"
WA,"7,705,281"
WV,"1,793,716"
WI,"5,893,718"
WY,"576,851"
PR,"3,285,874"
,
,
