State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine,Population
AL,2019.0,5006.0,7199.0,811.0,16.0,467.0,7582.0,140.0,744.0,1104.0,0.0,423.0,31.0,21.0,2663.0,6383.0,13978.0,1784.0,113.0,494.0,9484.0,2895.0,15.0,5927.0,1.0,310.0,27.0,111.0,3094.0,5024279
AL,2020.0,3495.0,6803.0,527.0,19.0,525.0,6816.0,140.0,747.0,1139.0,0.0,272.0,35.0,14.0,1456.0,5919.0,10502.0,2159.0,67.0,413.0,7480.0,2303.0,16.0,6483.0,5.0,253.0,21.0,63.0,2054.0,5024279
AL,2021.0,3282.0,7481.0,683.0,7.0,995.0,7181.0,147.0,1180.0,1136.0,90.0,374.0,13.0,11.0,2073.0,5742.0,10539.0,1824.0,34.0,1078.0,7681.0,2584.0,0.0,6118.0,90.0,260.0,13.0,37.0,2099.0,5024279
AK,2019.0,850.0,1786.0,32.0,67.0,68.0,1689.0,353.0,0.0,25.0,0.0,56.0,2.0,68.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733391
AK,2020.0,800.0,1404.0,61.0,51.0,68.0,1755.0,331.0,0.0,38.0,0.0,60.0,5.0,50.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733391
AK,2021.0,743.0,1522.0,85.0,37.0,70.0,1886.0,289.0,1.0,69.0,0.0,98.0,0.0,38.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733391
AZ,2019.0,11933.0,14168.0,1367.0,555.0,2042.0,20098.0,508.0,443.0,1794.0,1203.0,940.0,50.0,477.0,3708.0,21098.0,29033.0,5675.0,1898.0,3810.0,35632.0,11501.0,578.0,8344.0,391.0,590.0,78.0,1677.0,3044.0,7151502
AZ,2020.0,8410.0,11719.0,1446.0,507.0,1564.0,16664.0,447.0,188.0,1813.0,543.0,501.0,50.0,497.0,3046.0,10188.0,24101.0,5986.0,1681.0,3887.0,28214.0,7283.0,0.0,6043.0,703.0,374.0,19.0,1636.0,2031.0,7151502
AZ,2021.0,9823.0,14545.0,1192.0,103.0,1681.0,17735.0,480.0,71.0,1468.0,3201.0,700.0,50.0,107.0,3363.0,11206.0,27297.0,5005.0,580.0,4793.0,29709.0,8784.0,0.0,5392.0,757.0,493.0,24.0,590.0,2346.0,7151502
AR,2019.0,1131.0,3618.0,158.0,3.0,259.0,3630.0,557.0,48.0,382.0,228.0,111.0,3.0,1.0,398.0,1553.0,7211.0,261.0,2.0,420.0,3712.0,3367.0,0.0,1765.0,472.0,62.0,1.0,4.0,464.0,3011524
AR,2020.0,953.0,2307.0,435.0,3.0,176.0,3140.0,166.0,73.0,248.0,268.0,137.0,17.0,3.0,188.0,1744.0,4164.0,459.0,15.0,236.0,3199.0,1477.0,0.0,1577.0,305.0,80.0,3.0,5.0,264.0,3011524
AR,2021.0,1129.0,2406.0,333.0,49.0,256.0,3274.0,125.0,163.0,194.0,198.0,83.0,5.0,3.0,244.0,1750.0,4487.0,419.0,32.0,354.0,3524.0,1482.0,4.0,1564.0,266.0,75.0,1.0,34.0,294.0,3011524
CA,2019.0,24213.0,120718.0,19659.0,1701.0,4599.0,89620.0,3828.0,7847.0,21573.0,4074.0,4625.0,691.0,1718.0,35204.0,34685.0,101945.0,17380.0,4452.0,9414.0,81442.0,36732.0,133.0,26418.0,1831.0,1116.0,185.0,4327.0,15031.0,39538223
CA,2020.0,16607.0,67931.0,20091.0,1104.0,4305.0,62926.0,2834.0,8005.0,15712.0,1566.0,2516.0,413.0,1071.0,12182.0,21091.0,62379.0,13461.0,3147.0,6439.0,52723.0,23652.0,226.0,18518.0,1080.0,736.0,124.0,2982.0,7122.0,39538223
CA,2021.0,16771.0,72028.0,13327.0,1216.0,7726.0,64086.0,2955.0,10259.0,13692.0,2358.0,3066.0,215.0,1020.0,11877.0,22453.0,64753.0,11058.0,3081.0,7539.0,52522.0,24714.0,79.0,17821.0,1485.0,770.0,89.0,2762.0,7388.0,39538223
CO,2019.0,12361.0,16628.0,7201.0,420.0,3924.0,27927.0,2010.0,2409.0,2659.0,502.0,664.0,42.0,405.0,3578.0,9750.0,16805.0,10897.0,975.0,4544.0,23096.0,12471.0,380.0,2649.0,328.0,280.0,41.0,937.0,2689.0,5773714
CO,2020.0,10702.0,14531.0,8413.0,120.0,4503.0,27167.0,2204.0,2948.0,2600.0,386.0,479.0,47.0,80.0,2698.0,8811.0,12163.0,10729.0,347.0,3739.0,22761.0,9843.0,273.0,2080.0,233.0,143.0,38.0,273.0,2005.0,5773714
CO,2021.0,13309.0,17291.0,7522.0,97.0,4607.0,29103.0,2295.0,3259.0,2772.0,333.0,681.0,40.0,92.0,3263.0,11067.0,15190.0,9815.0,347.0,3320.0,22847.0,11324.0,129.0,1766.0,132.0,145.0,14.0,301.0,2061.0,5773714
CT,2019.0,880.0,992.0,935.0,109.0,183.0,2589.0,32.0,56.0,156.0,18.0,50.0,0.0,95.0,98.0,394.0,345.0,1540.0,152.0,163.0,1834.0,248.0,0.0,237.0,38.0,16.0,0.0,155.0,44.0,3605944
CT,2020.0,669.0,718.0,874.0,70.0,181.0,2089.0,40.0,76.0,127.0,39.0,103.0,1.0,57.0,70.0,232.0,266.0,919.0,97.0,101.0,1161.0,226.0,0.0,150.0,39.0,13.0,0.0,96.0,21.0,3605944
